	name	year	rating	n_reviews	director
104	Цельнометаллическая оболочка	1987	8.2	752838	Stanley Kubrick
105	Лицо со шрамом	1983	8.2	856928	Brian De Palma
106	Гамильтон	2020	8.2	99270	Thomas Kail
107	Пожары	2010	8.2	181871	Denis Villeneuve
108	Схватка	1995	8.2	667356	Michael Mann
109	Убить пересмешника	1962	8.2	320399	Robert Mulligan
110	Вверх	2009	8.2	1059931	Pete Docter
111	Афера	1973	8.2	267766	George Roy Hill
112	Развод Надера и Симин	2011	8.2	248069	Asghar Farhadi
113	Метрополис	1927	8.2	177080	Fritz Lang
114	Таксист	1976	8.2	852501	Martin Scorsese
115	Секреты Лос-Анджелеса	1997	8.2	589676	Curtis Hanson
116	Крепкий орешек	1988	8.2	895947	John McTiernan
117	Большой куш	2000	8.2	867881	Guy Ritchie
118	Индиана Джонс и последний крестовый поход	1989	8.2	765634	Steven Spielberg
119	Похитители велосипедов	1948	8.2	166234	Vittorio De Sica
120	Топ Ган: Мэверик	2022	8.2	558370	Joseph Kosinski
121	Звёздочки на земле	2007	8.2	196575	Aamir Khan
122	1917	2019	8.2	611096	Sam Mendes
123	Бункер	2004	8.2	360316	Oliver Hirschbiegel
124	Дангал	2016	8.2	195445	Nitesh Tiwari
125	На несколько долларов больше	1965	8.2	260919	Sergio Leone
126	Бэтмен: Начало	2005	8.2	1491256	Christopher Nolan
127	Малыш	1921	8.2	128417	Charles Chaplin
128	В джазе только девушки	1959	8.2	271474	Billy Wilder
129	Отец	2020	8.2	163528	Florian Zeller
130	All About Eve	1950	8.2	133216	Joseph L. Mankiewicz
131	Джон Уик 4	2023	8.2	63634	Chad Stahelski
132	Волк с Уолл-стрит	2013	8.2	1444982	Martin Scorsese
133	Зеленая книга	2018	8.2	510179	Peter Farrelly
134	Нюрнбергский процесс	1961	8.2	79148	Stanley Kramer
135	Ран	1985	8.2	128008	Akira Kurosawa
136	Казино	1995	8.2	529881	Martin Scorsese
137	Шоу Трумана	1998	8.2	1104852	Peter Weir
138	Нефть	2007	8.2	597249	Paul Thomas Anderson
139	Лабиринт Фавна	2006	8.2	677173	Guillermo del Toro
140	Непрощенный	1992	8.2	417872	Clint Eastwood
141	Шестое чувство	1999	8.2	1004639	M. Night Shyamalan
142	Остров проклятых	2010	8.2	1344650	Martin Scorsese
143	Игры разума	2001	8.2	944277	Ron Howard
144	Парк юрского периода	1993	8.1	1005219	Steven Spielberg
145	Телохранитель	1961	8.1	124956	Akira Kurosawa
146	The Treasure of the Sierra Madre	1948	8.1	126859	John Huston
147	Монти Пайтон и священный Грааль	1975	8.1	548463	Terry Gilliam
148	Старикам тут не место	2007	8.1	991945	Ethan Coen
149	Большой побег	1963	8.1	248064	John Sturges
150	Убить Билла	2003	8.1	1131755	Quentin Tarantino
151	Расёмон	1950	8.1	171489	Akira Kurosawa
152	Нечто	1982	8.1	434080	John Carpenter
153	Человек-паук: Нет пути домой	2021	8.1	781657	Jon Watts
154	В поисках Немо	2003	8.1	1058272	Andrew Stanton
155	Человек-слон	1980	8.1	245874	David Lynch
156	Китайский квартал	1974	8.1	332238	Roman Polanski
157	Бешеный бык	1980	8.1	360051	Martin Scorsese
158	«V» значит Вендетта	2005	8.1	1134271	James McTeigue
159	Унесённые ветром	1939	8.1	320476	Victor Fleming
160	Карты, деньги, два ствола	1998	8.1	591096	Guy Ritchie
161	В случае убийства набирайте «М»	1954	8.1	179141	Alfred Hitchcock
162	Головоломка	2015	8.1	728382	Pete Docter
163	Тайна в его глазах	2009	8.1	212738	Juan José Campanella
164	Ходячий замок	2004	8.1	405927	Hayao Miyazaki
165	Три билборда на границе Эббинга, Миссури	2017	8.1	520673	Martin McDonagh
166	На игле	1996	8.1	696567	Danny Boyle
167	Мост через реку Квай	1957	8.1	224226	David Lean
168	Пленницы	2013	8.1	735714	Denis Villeneuve
169	Воин	2011	8.1	479178	Gavin O'Connor
170	Фарго	1996	8.1	687995	Joel Coen
171	Гран Торино	2008	8.1	784944	Clint Eastwood
172	Мой сосед Тоторо	1988	8.1	348198	Hayao Miyazaki
173	Поймай меня, если сможешь	2002	8.1	1008132	Steven Spielberg
174	Малышка на миллион	2004	8.1	695991	Clint Eastwood
175	Дети небес	1997	8.1	76060	Majid Majidi
176	Бегущий по лезвию	1982	8.1	781784	Ridley Scott
177	The Gold Rush	1925	8.1	113126	Charles Chaplin
178	Клаус	2019	8.1	163841	Sergio Pablos
179	Гарри Поттер и Дары смерти: Часть II	2011	8.1	892415	David Yates
180	Перед рассветом	1995	8.1	316895	Richard Linklater
181	12 лет рабства	2013	8.1	711347	Steve McQueen
182	В порту	1954	8.1	157592	Elia Kazan
183	Бен-Гур	1959	8.1	243259	William Wyler
184	Отель «Гранд Будапешт»	2014	8.1	828549	Wes Anderson
185	Исчезнувшая	2014	8.1	1000179	David Fincher
186	Земляничная поляна	1957	8.1	109213	Ingmar Bergman
187	Паровоз Генерал	1926	8.1	93187	Clyde Bruckman
188	Барри Линдон	1975	8.1	172147	Stanley Kubrick
189	Во имя отца	1993	8.1	178597	Jim Sheridan
190	Охотник на оленей	1978	8.1	344573	Michael Cimino
191	Третий человек	1949	8.1	174317	Carol Reed
192	По соображениям совести	2016	8.1	541961	Mel Gibson
193	Плата за страх	1953	8.1	62712	Henri-Georges Clouzot
194	Воспоминания об убийстве	2003	8.1	192305	Bong Joon Ho
195	Шерлок младший	1924	8.1	51697	Buster Keaton
196	Дикие истории	2014	8.1	203166	Damián Szifron
197	Мистер Смит едет в Вашингтон	1939	8.1	117007	Frank Capra
198	Безумный Макс: Дорога ярости	2015	8.1	1020559	George Miller
199	Мэри и Макс	2009	8.1	179798	Adam Elliot
200	Седьмая печать	1957	8.1	188468	Ingmar Bergman
201	Как приручить дракона	2010	8.1	753946	Dean DeBlois
202	Корпорация монстров	2001	8.1	924007	Pete Docter
203	Челюсти	1975	8.1	618150	Steven Spielberg
204	Общество мёртвых поэтов	1989	8.1	503620	Peter Weir
205	Комната	2015	8.1	428409	Lenny Abrahamson
206	Большой Лебовски	1998	8.1	820659	Joel Coen
207	Токийская повесть	1953	8.1	63453	Yasujirô Ozu
208	Страсти Жанны д'Арк	1928	8.1	56704	Carl Theodor Dreyer
209	Ford против Ferrari	2019	8.0	409838	James Mangold
210	Отель «Руанда»	2004	8.0	360165	Terry George
211	Рокки	1976	8.0	592126	John G. Avildsen
212	Взвод	1986	8.0	420667	Oliver Stone
213	Рататуй	2007	8.0	756310	Brad Bird
214	В центре внимания	2015	8.0	478590	Tom McCarthy
215	Логан	2017	8.0	779019	James Mangold
